given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id,given_name_n,surname_n,address_1_n,address_2_n,suburb_n,state_n,date_of_birth_n,postcode_n,block_key,cluster_id
mitchell,green,7.0,wallaby place,delmar,cleveland,2119,sa,19560409.0,1804974,id8413098058,mitchell,green,wallaby place,delmar,cleveland,sa,1970-01-01,2119,2119_gr,0
harley,mccarthy,177.0,pridhamstreet,milton,marsden,3165,nsw,19080419.0,6089216,id0238210623,harley,mccarthy,pridhamstreet,milton,marsden,nsw,1970-01-01,3165,3165_mc,1
madeline,mason,54.0,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,19081128.0,2185997,id3291377902,madeline,mason,hoseason street,lakefront retrmnt vlge,granville,nsw,1970-01-01,4881,4881_ma,2
isabelle,,23.0,gundulu place,currin ga,utakarra,2193,wa,19921119.0,4314184,id2458107039,isabelle,,gundulu place,currin ga,utakarra,wa,1970-01-01,2193,2193_,3
taylor,hathaway,7.0,yuranigh court,brentwood vlge,,4220,nsw,19991207.0,9144092,id3341618803,taylor,hathaway,yuranigh court,brentwood vlge,,nsw,1970-01-01,4220,4220_ha,4
toby,webb,6.0,kent street,kersey' south,towradgi,3107,nsw,19940503.0,1232838,id0914241922,toby,webb,kent street,kersey' south,towradgi,nsw,1970-01-01,3107,3107_we,5
harry,stubs,,mountain creek road,,eaton,7310,vic,19721113.0,8317467,id3477271049,harry,stubs,mountain creek road,,eaton,vic,1970-01-01,7310,7310_st,6
lydia,mccattmhy,32.0,mckillop ecircuit,telemon orchards,corio,4670,nsw,19751220.0,1835068,id0006375933,lydia,mccattmhy,mckillop ecircuit,telemon orchards,corio,nsw,1970-01-01,4670,4670_mc,7
hollie,lillie-hinrichs,27.0,hemmings crescent,kilvintonvillage,banyo,4030,,19251130.0,4920253,id3782870424,hollie,lillie hinrichs,hemmings crescent,kilvintonvillage,banyo,,1970-01-01,4030,4030_li,8
dylan,zilm,17.0,blameycrescent,condinup,wattle glen,4211,vic,19671229.0,4892623,id5536636731,dylan,zilm,blameycrescent,condinup,wattle glen,vic,1970-01-01,4211,4211_zi,9
,donaldson,14.0,manity court,pacific terraces,charmhaven,3101,vic,19940825.0,9817986,id5021523252,,donaldson,manity court,pacific terraces,charmhaven,vic,1970-01-01,3101,3101_do,10
isabella,vincent,16.0,wilshiredstreet,erinsavle,rose ay,6207,vic,19760517.0,8693348,id8249866652,isabella,vincent,wilshiredstreet,erinsavle,rose ay,vic,1970-01-01,6207,6207_vi,11
connor,bishop,27.0,jarreah,mackinnon street,aspley,6052,,19200417.0,8871067,id3569814580,connor,bishop,jarreah,mackinnon street,aspley,,1970-01-01,6052,6052_bi,12
connor,shepherd,39.0,burnage place,rowethorpe,winstonhills,3183,nsw,19320907.0,5731308,id2924099750,connor,shepherd,burnage place,rowethorpe,winstonhills,nsw,1970-01-01,3183,3183_sh,13
natalia,gredn,358.0,macrossan crescent,newman medicajl centre,yagoona,2535,qld,19910111.0,3131587,id9505583013,natalia,gredn,macrossan crescent,newman medicajl centre,yagoona,qld,1970-01-01,2535,2535_gr,14
georgia,pettigrove,5.0,sinclair street,pinds,prairei,2478,nsw,19231019.0,9695933,id6073495220,georgia,pettigrove,sinclair street,pinds,prairei,nsw,1970-01-01,2478,2478_pe,15
wilson,pitno,11.0,bousteadcircuit,jewells medical centre,granville,3161,qld,19971229.0,8930019,id8488819199,wilson,pitno,bousteadcircuit,jewells medical centre,granville,qld,1970-01-01,3161,3161_pi,16
