given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
mitchell,green,7,wallaby place,delmar,cleveland,2119,sa,19560409,1804974,id8413098058
harley,mccarthy,177,pridhamstreet,milton,marsden,3165,nsw,19080419,6089216,id0238210623
madeline,mason,54,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,19081128,2185997,id3291377902
isabelle,,23,gundulu place,currin ga,utakarra,2193,wa,19921119,4314184,id2458107039
taylor,hathaway,7,yuranigh court,brentwood vlge,,4220,nsw,19991207,9144092,id3341618803
toby,webb,6,kent street,kersey' south,towradgi,3107,nsw,19940503,1232838,id0914241922
harry,stubs,,mountain creek road,,eaton,7310,vic,19721113,8317467,id3477271049
lydia,mccattmhy,32,mckillop ecircuit,telemon orchards,corio,4670,nsw,19751220,1835068,id0006375933
hollie,lillie-hinrichs,27,hemmings crescent,kilvintonvillage,banyo,4030,,19251130,4920253,id3782870424
dylan,zilm,17,blameycrescent,condinup,wattle glen,4211,vic,19671229,4892623,id5536636731
,donaldson,14,manity court,pacific terraces,charmhaven,3101,vic,19940825,9817986,id5021523252
isabella,vincent,16,wilshiredstreet,erinsavle,rose ay,6207,vic,19760517,8693348,id8249866652
connor,bishop,27,jarreah,mackinnon street,aspley,6052,,19200417,8871067,id3569814580
connor,shepherd,39,burnage place,rowethorpe,winstonhills,3183,nsw,19320907,5731308,id2924099750
natalia,gredn,358,macrossan crescent,newman medicajl centre,yagoona,2535,qld,19910111,3131587,id9505583013
georgia,pettigrove,5,sinclair street,pinds,prairei,2478,nsw,19231019,9695933,id6073495220
wilson,pitno,11,bousteadcircuit,jewells medical centre,granville,3161,qld,19971229,8930019,id8488819199
andrew,klander,20,newman morris circuit,the willows,homebush,2285,vic,19761017,5392569,id2526755853
tahni,skeen,11,macfarland crescent,,ryde,3220,,19231110,4111794,id3802458269
kasey,millar,,burdekin avenue,crown allot,woollahra,4217,qld,19930714,7442486,id9981524639
keziah,parr,20,clift crecent,bro okvale,murphys rceek,2761,nsw,19550103,3697304,id8440184054
braecon,schuetz,122,howarth place,villa 19,alice springs,2028,vic,19440909,5276446,id4051089752
nemesia,grifefn,10,derrington c rescent,hd curramulka,beechboro,2262,nsw,19870509,9760949,id3698727216
,white,21,boobialla street,sheep s tation,carlingford,2830,qld,19241214,2042443,id9890314006
quilliam,ashleigh,57,bedford s treet,rosall,surrey hills,6525,nsw,19460730,6408579,id2240398593
jacqueline,daykin,21,mackie crescent,logan central plaza,pottsville beach,2213,qld,19510605,1615186,id9673540514
amelia,benger,51,macalister crescent,,sippy downs,4110,nsw,19420909,8671640,id4317313315
rily,gloster,24,farrerplace,,frankston,3178,nsw,19590124,2526809,id6280872123
lily,thorpe,313,rivett place,thurlgona,mount gravatt,6104,wa,19310318,9216585,id7435132157
lary,slape,11,lamington street,rosehe ll,albany creek,6020,wa,19010927,2204911,id2750556942
joshua,linnell,2,lambrigg treet,craigie ela garden,rowville,3185,qld,19480511,7096343,id5311691966
joshua,linnell,2,lambrigg street,craigie lea garden,balwyn north,3185,qld,19480511,7096343,id9891489195
sophie,grubb,36,furphy place,mid city centre,cottles bridge,5091,qld,19230322,3779522,id5288586201
john,slywka,33,gowrie court,boxwood vale,north ward,6014,tas,19590803,5011995,id1968201641
alexandra,robson,4,brunswick circuit,keith payne hstl,mount sophia,5024,nsw,19470726,5974014,id1469132431
stella,chandler,50,ebden street,rosetta village,coffs harbour,6304,vic,19741215,8164610,id2008604930
thomas,white,706,monaro crescent,birra billa,point lofsdale,2088,wa,19310818,5855559,id8997490789
hannah,bloomfield,7,ferguson circuit,crown allotment,oakden,7253,nsw,19130806,1605711,id0249514967
,kochiwama,44,antares crescent,telopea p ark,benowa,7017,nsw,19000626,2398260,id6723013537
lauren,bradshaw,130,ashcroft crescent,upa cottages,stirling north,2198,vic,19301022,1926163,id6631174572
willow,froscio,378,yandastreet,,keilor,5022,vic,19091226,6630637,id2193674189
sophie,nicolle,112,garling street,spring creek,kotara,4740,nt,19111001,7492384,id0133121272
andrew,klander,20,newman morois circuit,the willows,homebush,2285,vic,19761017,5392569,id6492408250
angus,stanley,6,lazar place,koobeja,floradhill,7008,qld,19971003,1076050,id3020277738
jack,stubbs,150,heard street,summerset,st agnes,5344,qld,19890526,1690126,id8974108430
matthew,leong,5,kavelstreet,glen-mwria,minchinbfry,6153,nsw,19170916,1648925,id9229871910
stella,chandler,50,ebden street,rosetta vlilage,coffs harbour,6304,vic,19741215,8587561,id9125334295
